#
# ABINIT package : DOS file  
#
# nsppol = 1, nkpt = 1240, nband(1)=  18
# Tetrahedron method
# For identification : eigen(1:3)=  -1.470  -1.470  -0.619
#
# Fermi energy :       0.52598301
#
# The DOS (in electrons/Hartree/cell) and integrated DOS (in electrons/cell) are computed,
# at  4601 energies (in Hartree) covering the interval 
# between   -1.5000 and    0.8000 Hartree by steps of  0.00050 Hartree.
#
# energy(Ha)     DOS  integrated DOS
   -1.50000     0.0000     0.0000
   -1.49950     0.0000     0.0000
   -1.49900     0.0000     0.0000
   -1.49850     0.0000     0.0000
   -1.49800     0.0000     0.0000
   -1.49750     0.0000     0.0000
   -1.49700     0.0000     0.0000
   -1.49650     0.0000     0.0000
   -1.49600     0.0000     0.0000
   -1.49550     0.0000     0.0000
   -1.49500     0.0000     0.0000
   -1.49450     0.0000     0.0000
   -1.49400     0.0000     0.0000
   -1.49350     0.0000     0.0000
   -1.49300     0.0000     0.0000
   -1.49250     0.0000     0.0000
   -1.49200     0.0000     0.0000
   -1.49150     0.0000     0.0000
   -1.49100     0.0000     0.0000
   -1.49050     0.0000     0.0000
   -1.49000     0.0000     0.0000
   -1.48950     0.0000     0.0000
   -1.48900     0.0000     0.0000
   -1.48850     0.0000     0.0000
   -1.48800     0.0000     0.0000
   -1.48750     0.0000     0.0000
   -1.48700     0.0000     0.0000
   -1.48650     0.0000     0.0000
   -1.48600     0.0000     0.0000
   -1.48550     0.0000     0.0000
   -1.48500     0.0000     0.0000
   -1.48450     0.0000     0.0000
   -1.48400     0.0000     0.0000
   -1.48350     0.0000     0.0000
   -1.48300     0.0000     0.0000
   -1.48250     0.0000     0.0000
   -1.48200     0.0000     0.0000
   -1.48150     0.0000     0.0000
   -1.48100     0.0000     0.0000
   -1.48050     0.0000     0.0000
   -1.48000     0.0000     0.0000
   -1.47950     0.0000     0.0000
   -1.47900     0.0000     0.0000
   -1.47850     0.0000     0.0000
   -1.47800     0.0000     0.0000
   -1.47750     0.0000     0.0000
   -1.47700     0.0000     0.0000
   -1.47650     0.0000     0.0000
   -1.47600     0.0000     0.0000
   -1.47550     0.0000     0.0000
   -1.47500     0.0000     0.0000
   -1.47450     0.0000     0.0000
   -1.47400     0.0000     0.0000
   -1.47350     0.0000     0.0000
   -1.47300     0.0000     0.0000
   -1.47250     0.0000     0.0000
   -1.47200     0.0000     0.0000
   -1.47150     0.0000     0.0000
   -1.47100     0.0000     0.0000
   -1.47050     0.0000     0.0000
   -1.47000    15.1373     0.0039
   -1.46950    23.5133     0.0137
   -1.46900    30.9264     0.0273
   -1.46850    37.9560     0.0445
   -1.46800    45.0231     0.0652
   -1.46750    52.3520     0.0895
   -1.46700    60.3101     0.1177
   -1.46650    68.9913     0.1500
   -1.46600    78.7895     0.1869
   -1.46550    89.9728     0.2290
   -1.46500   102.9426     0.2771
   -1.46450   118.5502     0.3324
   -1.46400   137.8638     0.3963
   -1.46350   162.6545     0.4711
   -1.46300   196.5377     0.5604
   -1.46250   247.3474     0.6704
   -1.46200   341.4746     0.8145
   -1.46150   579.7809     1.0465
   -1.46100   656.8040     1.3583
   -1.46050   253.3105     1.5232
   -1.46000   188.1477     1.6316
   -1.45950   149.0065     1.7152
   -1.45900   121.6515     1.7826
   -1.45850   100.3354     1.8379
   -1.45800    82.8812     1.8835
   -1.45750    67.8188     1.9211
   -1.45700    54.2089     1.9516
   -1.45650    40.7036     1.9753
   -1.45600    26.3281     1.9922
   -1.45550     0.0000     2.0000
   -1.45500     0.0000     2.0000
   -1.45450     0.0000     2.0000
   -1.45400     0.0000     2.0000
   -1.45350     0.0000     2.0000
   -1.45300     0.0000     2.0000
   -1.45250     0.0000     2.0000
   -1.45200     0.0000     2.0000
   -1.45150     0.0000     2.0000
   -1.45100     0.0000     2.0000
   -1.45050     0.0000     2.0000
   -1.45000     0.0000     2.0000
   -1.44950     0.0000     2.0000
   -1.44900     0.0000     2.0000
   -1.44850     0.0000     2.0000
   -1.44800     0.0000     2.0000
   -1.44750     0.0000     2.0000
   -1.44700     0.0000     2.0000
   -1.44650     0.0000     2.0000
   -1.44600     0.0000     2.0000
   -1.44550     0.0000     2.0000
   -1.44500     0.0000     2.0000
   -1.44450     0.0000     2.0000
   -1.44400     0.0000     2.0000
   -1.44350     0.0000     2.0000
   -1.44300     0.0000     2.0000
   -1.44250     0.0000     2.0000
   -1.44200     0.0000     2.0000
   -1.44150     0.0000     2.0000
   -1.44100     0.0000     2.0000
   -1.44050     0.0000     2.0000
   -1.44000     0.0000     2.0000
   -1.43950     0.0000     2.0000
   -1.43900     0.0000     2.0000
   -1.43850     0.0000     2.0000
   -1.43800     0.0000     2.0000
   -1.43750     0.0000     2.0000
   -1.43700     0.0000     2.0000
   -1.43650     0.0000     2.0000
   -1.43600     0.0000     2.0000
   -1.43550     0.0000     2.0000
   -1.43500     0.0000     2.0000
   -1.43450     0.0000     2.0000
   -1.43400     0.0000     2.0000
   -1.43350     0.0000     2.0000
   -1.43300     0.0000     2.0000
   -1.43250     0.0000     2.0000
   -1.43200     0.0000     2.0000
   -1.43150     0.0000     2.0000
   -1.43100     0.0000     2.0000
   -1.43050     0.0000     2.0000
   -1.43000     0.0000     2.0000
