# 
# Phonon density of states and atom type projected DOS
# 
# Energy in Ha , DOS in states/Ha
# Gaussian method with smearing =   2.00000000E-05Ha , nqibz =1140
# 
# omega     PHDOS    INT_PHDOS   PJDOS[atom_type=1]  INT_PJDOS[atom_type=1] ...  
#
  -2.09752404E-04   1.61273586E-01   5.51112394E-08   1.61273586E-01   5.51112394E-08  
  -2.08841137E-04   1.86256344E-01   2.53128721E-07   1.86256344E-01   2.53128721E-07  
  -2.07929870E-04   2.14695830E-01   4.40622071E-07   2.14695830E-01   4.40622071E-07  
  -2.07018603E-04   2.47003296E-01   6.65708036E-07   2.47003296E-01   6.65708036E-07  
  -2.06107336E-04   2.83628904E-01   9.24169711E-07   2.83628904E-01   9.24169711E-07  
  -2.05196069E-04   3.25064019E-01   1.22038984E-06   3.25064019E-01   1.22038984E-06  
  -2.04284802E-04   3.71843478E-01   1.55923855E-06   3.71843478E-01   1.55923855E-06  
  -2.03373535E-04   4.24547771E-01   1.94611495E-06   4.24547771E-01   1.94611495E-06  
  -2.02462268E-04   4.83805127E-01   2.38699062E-06   4.83805127E-01   2.38699062E-06  
  -2.01551001E-04   5.50293475E-01   2.88845493E-06   5.50293475E-01   2.88845493E-06  
  -2.00639734E-04   6.24742219E-01   3.45776193E-06   6.24742219E-01   3.45776193E-06  
  -1.99728467E-04   7.07933829E-01   4.10287870E-06   7.07933829E-01   4.10287870E-06  
  -1.98817200E-04   8.00705184E-01   4.83253495E-06   8.00705184E-01   4.83253495E-06  
  -1.97905932E-04   9.03948638E-01   5.65627356E-06   9.03948638E-01   5.65627356E-06  
  -1.96994665E-04   1.01861278E+00   6.58450183E-06   1.01861278E+00   6.58450183E-06  
  -1.96083398E-04   1.14570286E+00   7.62854309E-06   1.14570286E+00   7.62854309E-06  
  -1.95172131E-04   1.28628078E+00   8.80068839E-06   1.28628078E+00   8.80068839E-06  
  -1.94260864E-04   1.44146477E+00   1.01142477E-05   1.44146477E+00   1.01142477E-05  
  -1.93349597E-04   1.61242850E+00   1.15836007E-05   1.61242850E+00   1.15836007E-05  
  -1.92438330E-04   1.80039982E+00   1.32242457E-05   1.80039982E+00   1.32242457E-05  
  -1.91527063E-04   2.00665900E+00   1.50528480E-05   2.00665900E+00   1.50528480E-05  
  -1.90615796E-04   2.23253636E+00   1.70872848E-05   2.23253636E+00   1.70872848E-05  
  -1.89704529E-04   2.47940957E+00   1.93466890E-05   2.47940957E+00   1.93466890E-05  
  -1.88793262E-04   2.74870024E+00   2.18514890E-05   2.74870024E+00   2.18514890E-05  
  -1.87881995E-04   3.04187009E+00   2.46234450E-05   3.04187009E+00   2.46234450E-05  
  -1.86970728E-04   3.36041665E+00   2.76856820E-05   3.36041665E+00   2.76856820E-05  
  -1.86059461E-04   3.70586832E+00   3.10627176E-05   3.70586832E+00   3.10627176E-05  
  -1.85148194E-04   4.07977917E+00   3.47804860E-05   4.07977917E+00   3.47804860E-05  
  -1.84236927E-04   4.48372310E+00   3.88663551E-05   4.48372310E+00   3.88663551E-05  
  -1.83325660E-04   4.91928774E+00   4.33491399E-05   4.91928774E+00   4.33491399E-05  
  -1.82414393E-04   5.38806801E+00   4.82591088E-05   5.38806801E+00   4.82591088E-05  
  -1.81503126E-04   5.89165926E+00   5.36279837E-05   5.89165926E+00   5.36279837E-05  
  -1.80591859E-04   6.43165034E+00   5.94889348E-05   6.43165034E+00   5.94889348E-05  
  -1.79680591E-04   7.00961640E+00   6.58765672E-05   7.00961640E+00   6.58765672E-05  
  -1.78769324E-04   7.62711162E+00   7.28269027E-05   7.62711162E+00   7.28269027E-05  
  -1.77858057E-04   8.28566193E+00   8.03773535E-05   8.28566193E+00   8.03773535E-05  
  -1.76946790E-04   8.98675771E+00   8.85666896E-05   8.98675771E+00   8.85666896E-05  
  -1.76035523E-04   9.73184673E+00   9.74350009E-05   9.73184673E+00   9.74350009E-05  
  -1.75124256E-04   1.05223271E+01   1.07023651E-04   1.05223271E+01   1.07023651E-04  
  -1.74212989E-04   1.13595406E+01   1.17375226E-04   1.13595406E+01   1.17375226E-04  
  -1.73301722E-04   1.22447664E+01   1.28533478E-04   1.22447664E+01   1.28533478E-04  
  -1.72390455E-04   1.31792146E+01   1.40543262E-04   1.31792146E+01   1.40543262E-04  
  -1.71479188E-04   1.41640211E+01   1.53450468E-04   1.41640211E+01   1.53450468E-04  
  -1.70567921E-04   1.52002418E+01   1.67301947E-04   1.52002418E+01   1.67301947E-04  
  -1.69656654E-04   1.62888483E+01   1.82145438E-04   1.62888483E+01   1.82145438E-04  
  -1.68745387E-04   1.74307230E+01   1.98029482E-04   1.74307230E+01   1.98029482E-04  
  -1.67834120E-04   1.86266556E+01   2.15003339E-04   1.86266556E+01   2.15003339E-04  
  -1.66922853E-04   1.98773393E+01   2.33116904E-04   1.98773393E+01   2.33116904E-04  
  -1.66011586E-04   2.11833675E+01   2.52420608E-04   2.11833675E+01   2.52420608E-04  
  -1.65100319E-04   2.25452311E+01   2.72965335E-04   2.25452311E+01   2.72965335E-04  
  -1.64189052E-04   2.39633158E+01   2.94802315E-04   2.39633158E+01   2.94802315E-04  
  -1.63277785E-04   2.54378994E+01   3.17983034E-04   2.54378994E+01   3.17983034E-04  
  -1.62366518E-04   2.69691496E+01   3.42559132E-04   2.69691496E+01   3.42559132E-04  
  -1.61455250E-04   2.85571216E+01   3.68582296E-04   2.85571216E+01   3.68582296E-04  
  -1.60543983E-04   3.02017550E+01   3.96104160E-04   3.02017550E+01   3.96104160E-04  
  -1.59632716E-04   3.19028715E+01   4.25176195E-04   3.19028715E+01   4.25176195E-04  
  -1.58721449E-04   3.36601715E+01   4.55849601E-04   3.36601715E+01   4.55849601E-04  
  -1.57810182E-04   3.54732308E+01   4.88175187E-04   3.54732308E+01   4.88175187E-04  
  -1.56898915E-04   3.73414961E+01   5.22203262E-04   3.73414961E+01   5.22203262E-04  
  -1.55987648E-04   3.92642807E+01   5.57983507E-04   3.92642807E+01   5.57983507E-04  
  -1.55076381E-04   4.12407591E+01   5.95564852E-04   4.12407591E+01   5.95564852E-04  
  -1.54165114E-04   4.32699612E+01   6.34995342E-04   4.32699612E+01   6.34995342E-04  
  -1.53253847E-04   4.53507657E+01   6.76322001E-04   4.53507657E+01   6.76322001E-04  
  -1.52342580E-04   4.74818930E+01   7.19590685E-04   4.74818930E+01   7.19590685E-04  
  -1.51431313E-04   4.96618975E+01   7.64845936E-04   4.96618975E+01   7.64845936E-04  
  -1.50520046E-04   5.18891591E+01   8.12130817E-04   5.18891591E+01   8.12130817E-04  
  -1.49608779E-04   5.41618750E+01   8.61486749E-04   5.41618750E+01   8.61486749E-04  
  -1.48697512E-04   5.64780509E+01   9.12953336E-04   5.64780509E+01   9.12953336E-04  
  -1.47786245E-04   5.88354919E+01   9.66568181E-04   5.88354919E+01   9.66568181E-04  
  -1.46874978E-04   6.12317946E+01   1.02236670E-03   6.12317946E+01   1.02236670E-03  
  -1.45963711E-04   6.36643384E+01   1.08038191E-03   6.36643384E+01   1.08038191E-03  
  -1.45052444E-04   6.61302786E+01   1.14064426E-03   6.61302786E+01   1.14064426E-03  
  -1.44141176E-04   6.86265397E+01   1.20318136E-03   6.86265397E+01   1.20318136E-03  
  -1.43229909E-04   7.11498111E+01   1.26801784E-03   7.11498111E+01   1.26801784E-03  
  -1.42318642E-04   7.36965431E+01   1.33517507E-03   7.36965431E+01   1.33517507E-03  
  -1.41407375E-04   7.62629464E+01   1.40467098E-03   7.62629464E+01   1.40467098E-03  
  -1.40496108E-04   7.88449924E+01   1.47651982E-03   7.88449924E+01   1.47651982E-03  
  -1.39584841E-04   8.14384175E+01   1.55073197E-03   8.14384175E+01   1.55073197E-03  
  -1.38673574E-04   8.40387291E+01   1.62731370E-03   8.40387291E+01   1.62731370E-03  
  -1.37762307E-04   8.66412156E+01   1.70626698E-03   8.66412156E+01   1.70626698E-03  
  -1.36851040E-04   8.92409594E+01   1.78758933E-03   8.92409594E+01   1.78758933E-03  
  -1.35939773E-04   9.18328532E+01   1.87127358E-03   9.18328532E+01   1.87127358E-03  
  -1.35028506E-04   9.44116201E+01   1.95730778E-03   9.44116201E+01   1.95730778E-03  
  -1.34117239E-04   9.69718371E+01   2.04567502E-03   9.69718371E+01   2.04567502E-03  
  -1.33205972E-04   9.95079631E+01   2.13635335E-03   9.95079631E+01   2.13635335E-03  
  -1.32294705E-04   1.02014369E+02   2.22931568E-03   1.02014369E+02   2.22931568E-03  
  -1.31383438E-04   1.04485371E+02   2.32452975E-03   1.04485371E+02   2.32452975E-03  
  -1.30472171E-04   1.06915269E+02   2.42195812E-03   1.06915269E+02   2.42195812E-03  
  -1.29560904E-04   1.09298388E+02   2.52155814E-03   1.09298388E+02   2.52155814E-03  
  -1.28649637E-04   1.11629116E+02   2.62328207E-03   1.11629116E+02   2.62328207E-03  
  -1.27738370E-04   1.13901952E+02   2.72707717E-03   1.13901952E+02   2.72707717E-03  
  -1.26827103E-04   1.16111548E+02   2.83288580E-03   1.16111548E+02   2.83288580E-03  
  -1.25915835E-04   1.18252759E+02   2.94064564E-03   1.18252759E+02   2.94064564E-03  
  -1.25004568E-04   1.20320687E+02   3.05028992E-03   1.20320687E+02   3.05028992E-03  
  -1.24093301E-04   1.22310724E+02   3.16174765E-03   1.22310724E+02   3.16174765E-03  
  -1.23182034E-04   1.24218603E+02   3.27494397E-03   1.24218603E+02   3.27494397E-03  
